time,RASIS,,,LASIS,,,RPSIS,,,LPSIS,,,RGT,,,LGT,,,RAsho,,,RPsho,,
0,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.0711929,28.1678,32.69,95.7761,28.859,59.3936,94.6718,11.2265,41.5388,97.5511,11.4102,50.947,97.1996,22.1483,27.961,85.9051,21.7605,64.184,85.5986,25.2289,32.1951,140.436,11.0347,31.1366,141.294
0.0731705,28.1684,32.6918,95.7765,28.8587,59.3916,94.6751,11.2252,41.5392,97.5514,11.4108,50.9466,97.1982,22.1477,27.959,85.9057,21.7594,64.1862,85.6016,25.2334,32.1945,140.436,11.0335,31.1349,141.294
0.0751481,28.1685,32.6927,95.7774,28.8581,59.3905,94.676,11.2238,41.5394,97.5514,11.411,50.9463,97.1972,22.1474,27.9575,85.905,21.7588,64.1876,85.6037,25.2338,32.1935,140.433,11.0322,31.1326,141.293
0.0771257,28.1674,32.6917,95.7792,28.8571,59.3916,94.6716,11.2223,41.5394,97.5506,11.4099,50.9463,97.1971,22.148,27.9572,85.9013,21.7595,64.1871,85.6033,25.2249,32.1919,140.426,11.0308,31.129,141.292
0.0791032,28.1664,32.691,95.78,28.8565,59.3924,94.6688,11.2214,41.539,97.5502,11.4093,50.9463,97.197,22.1473,27.957,85.8992,21.7593,64.1865,85.6032,25.2185,32.1911,140.421,11.0293,31.1269,141.291
0.0810808,28.1658,32.691,95.7777,28.8568,59.3922,94.6702,11.2224,41.5376,97.551,11.4099,50.9463,97.1966,22.1433,27.9571,85.9013,21.757,64.1853,85.6038,25.2187,32.1926,140.419,11.0278,31.1288,141.291
0.0830584,28.1651,32.6911,95.7762,28.8569,59.3921,94.6718,11.2226,41.5368,97.5514,11.4098,50.9465,97.1966,22.1407,27.9574,85.9023,21.7547,64.1848,85.6044,25.2187,32.193,140.418,11.0268,31.1303,141.291
0.085036,28.1644,32.6917,95.777,28.8561,59.3924,94.6738,11.2205,41.5378,97.5503,11.4071,50.9475,97.1977,22.1429,27.9583,85.8999,21.7524,64.1862,85.6045,25.2179,32.1903,140.421,11.0276,31.1307,141.29
0.0870136,28.1636,32.6919,95.7776,28.8557,59.3927,94.6753,11.2193,41.5388,97.5489,11.4054,50.9481,97.1986,22.1442,27.9588,85.8983,21.7505,64.1874,85.6045,25.2174,32.1879,140.422,11.0279,31.1314,141.29
0.0889912,28.1626,32.6905,95.7771,28.8572,59.3923,94.675,11.2216,41.5403,97.5463,11.408,50.9477,97.1987,22.1419,27.9577,85.9002,21.7506,64.1873,85.6036,25.2184,32.1871,140.418,11.0257,31.1331,141.292
0.0909687,28.1616,32.6895,95.7768,28.858,59.3921,94.6746,11.2233,41.5416,97.5444,11.4095,50.9471,97.1986,22.1403,27.9567,85.9015,21.7506,64.1872,85.6029,25.2186,32.1866,140.414,11.0238,31.1348,141.294
0.0929463,28.161,32.6903,95.7776,28.8544,59.3926,94.6736,11.2211,41.5421,97.5461,11.406,50.9459,97.1975,22.1422,27.9569,85.9001,21.7503,64.1871,85.6032,25.2144,32.1878,140.416,11.0239,31.1361,141.293
0.0949239,28.1604,32.6911,95.7782,28.8511,59.3932,94.6734,11.2194,41.5427,97.5475,11.403,50.945,97.1963,22.1442,27.9571,85.8987,21.7501,64.1871,85.6034,25.2103,32.1892,140.417,11.0237,31.1373,141.292
0.0969015,28.161,32.6917,95.7772,28.8493,59.3947,94.6794,11.2207,41.5439,97.5465,11.4039,50.9454,97.1935,22.1466,27.9583,85.8983,21.7504,64.1886,85.6026,25.2062,32.1915,140.417,11.0227,31.1371,141.291
0.0988791,28.1615,32.6923,95.7764,28.8477,59.3961,94.6847,11.2217,41.5447,97.5458,11.4049,50.946,97.1913,22.1488,27.9595,85.898,21.7506,64.1899,85.602,25.2024,32.1936,140.417,11.0215,31.1369,141.29
