total mass,68.63536835,,,,time,Rft_COM,,,Lft_COM,,,Rshank_COM,,,Lshank_COM,,,Rthigh_COM,,,Lthigh_COM,,,Rankle_jc,,,Lankle_jc,,,Rknee_jc,,,Lknee_jc,,,Rhip_jc,,,Lhip_jc,,,GRF_Rleg,,,GRF_Lleg,,,GRT_Rleg,,,GRT_Lleg,,,COP_Rleg,,,COP_Lleg,,,Rft_angle,,,Lft_angle,,,Rshank_angle,,,Lshank_angle,,,Rthigh_angle,,,Lthigh_angle,,
Mass of foot,0.940304546,,,,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,,,,0.676333,24.2811,14.4824,4.27073,26.0901,73.6147,3.8587,24.7485,21.7016,29.9777,25.1839,68.504,29.7664,20.6461,32.2445,68.3717,19.9529,59.8994,68.3537,21.5914,15.9762,9.50442,23.2408,71.5032,8.88253,27.2891,26.309,46.4532,26.7476,66.0905,46.5722,16.0394,36.3607,83.5718,15.2409,55.606,83.4587,-13.9683,67.3917,297.111,16.6142,-80.8108,377.968,-28.8899,-11.1479,2.60712,19.6417,-8.40975,-4.6837,28.3293,12.7762,-2.0012,26.2307,74.6504,-2.35578,-10.1099,1.26331,-101.118,8.13226,2.29657,-65.7192,-15.6237,8.44724,-109.006,8.17245,5.26205,-58.3701,-15.1522,-16.3063,-90.1885,15.8671,-16.7025,-82.809
,,,,,0.67831,24.2809,14.4837,4.26863,26.0921,73.6147,3.85387,24.748,21.6942,29.9794,25.1831,68.4952,29.765,20.6409,32.2297,68.373,19.953,59.8845,68.3514,21.5913,15.976,9.50411,23.2401,71.5006,8.88111,27.2883,26.2958,46.4564,26.7467,66.0766,46.5709,16.0311,36.3447,83.5717,15.2417,55.5904,83.4558,-14.2868,67.2681,296.848,16.794,-80.4801,377.561,-28.8622,-11.2221,2.56458,19.627,-8.34032,-4.69395,28.3575,12.7769,-2.00108,26.2147,74.6521,-2.35581,-10.0939,1.27072,-101.11,8.14862,2.28877,-65.7258,-15.6037,8.4462,-109.012,8.18942,5.26155,-58.382,-15.1494,-16.318,-90.133,15.8702,-16.7007,-82.8231
,,,,,0.680288,24.2802,14.4856,4.26612,26.0949,73.6149,3.84773,24.7473,21.6867,29.9811,25.1821,68.4852,29.7632,20.6357,32.2145,68.3741,19.9528,59.8688,68.3489,21.591,15.9762,9.50391,23.2399,71.4976,8.8792,27.2872,26.2821,46.4597,26.745,66.061,46.5691,16.023,36.3285,83.5713,15.2425,55.5746,83.4528,-14.7636,67.1369,296.866,17.1742,-80.1918,376.506,-28.8491,-11.2064,2.53447,19.5881,-8.29504,-4.70847,28.3519,12.7819,-2.00114,26.2089,74.6563,-2.35584,-10.075,1.28022,-101.102,8.17033,2.28139,-65.7348,-15.5823,8.44509,-109.017,8.20802,5.25892,-58.3955,-15.1474,-16.3294,-90.0792,15.8711,-16.6976,-82.8431
,,,,,0.682265,24.2812,14.4853,4.26609,26.093,73.6144,3.85053,24.7438,21.682,29.9831,25.1777,68.4768,29.7623,20.6266,32.2037,68.3743,19.9501,59.8557,68.3484,21.5912,15.9749,9.50587,23.2401,71.4957,8.87968,27.2808,26.2746,46.4617,26.7369,66.0474,46.5671,16.012,36.3154,83.5702,15.2436,55.5619,83.4534,-15.1751,67.0993,296.987,17.4338,-80.1126,376.279,-28.8254,-11.2308,2.51128,19.5636,-8.16142,-4.69165,28.3585,12.7938,-2.00119,26.1747,74.653,-2.35588,-10.0605,1.2745,-101.102,8.19477,2.29847,-65.7382,-15.5733,8.4357,-109.019,8.2261,5.24678,-58.3953,-15.1405,-16.3375,-89.9941,15.8685,-16.6843,-82.8885
,,,,,0.684243,24.2826,14.4844,4.26668,26.0898,73.6138,3.85561,24.7397,21.678,29.9851,25.1725,68.4687,29.7616,20.6165,32.1939,68.3742,19.9468,59.8433,68.3484,21.5917,15.9733,9.50838,23.2404,71.4941,8.88078,27.2731,26.2687,46.4634,26.7273,66.0341,46.5649,16.0003,36.303,83.5689,15.2447,55.5501,83.4548,-15.763,66.9929,297.125,17.4609,-79.8808,375.525,-28.8602,-11.3434,2.48798,19.4626,-8.07471,-4.67511,28.3945,12.7867,-2.00098,26.1559,74.6365,-2.35586,-10.0471,1.26489,-101.106,8.21995,2.32179,-65.7402,-15.5675,8.42422,-109.021,8.24404,5.2322,-58.3916,-15.1324,-16.3448,-89.9012,15.8651,-16.6683,-82.9403
,,,,,0.686221,24.283,14.4849,4.26654,26.09,73.6123,3.85704,24.7377,21.6722,29.9861,25.172,68.4602,29.7613,20.608,32.1814,68.3754,19.9466,59.8297,68.3481,21.5944,15.9737,9.50728,23.2415,71.4922,8.88031,27.2672,26.2579,46.466,26.7255,66.0202,46.5648,15.9901,36.2892,83.5691,15.2455,55.5367,83.4545,-16.2236,67.1797,297.208,17.7437,-79.621,375.449,-28.8789,-11.3865,2.52023,19.4147,-8.08532,-4.6765,28.4079,12.7832,-2.00089,26.1592,74.6248,-2.35582,-10.0484,1.27196,-101.112,8.2266,2.32457,-65.7346,-15.5499,8.41151,-109.012,8.262,5.2277,-58.3856,-15.1288,-16.352,-89.822,15.8644,-16.6649,-82.9534
,,,,,0.688198,24.2831,14.4858,4.26621,26.091,73.6106,3.85754,24.7361,21.666,29.9867,25.1727,68.4515,29.7611,20.5999,32.1681,68.3769,19.9471,59.8157,68.3478,21.5976,15.9747,9.50524,23.2428,71.4903,8.87945,27.2617,26.246,46.4688,26.7258,66.006,46.5651,15.9801,36.2749,83.5697,15.2462,55.5228,83.4537,-16.6935,67.1356,297.555,17.8207,-79.3485,374.504,-28.8746,-11.4598,2.46027,19.3862,-7.96881,-4.64748,28.4279,12.7959,-2.00089,26.1335,74.6302,-2.35588,-10.0535,1.28332,-101.118,8.2285,2.32208,-65.727,-15.5293,8.39848,-109.002,8.27995,5.22578,-58.379,-15.1264,-16.3592,-89.7464,15.8643,-16.6647,-82.9565
,,,,,0.690176,24.2834,14.485,4.26748,26.0928,73.6115,3.85357,24.73,21.6573,29.9881,25.1738,68.4445,29.7602,20.5905,32.1526,68.3783,19.9481,59.8015,68.3444,21.5968,15.9733,9.50513,23.2427,71.4893,8.87932,27.2513,26.2313,46.4713,26.7278,65.9942,46.5637,15.9714,36.2588,83.5704,15.2466,55.5071,83.4489,-17.1162,67.3247,297.59,17.9183,-79.2821,374.36,-28.9378,-11.4509,2.45836,19.2909,-7.9445,-4.64982,28.4244,12.776,-2.00077,26.1278,74.6067,-2.35582,-10.048,1.27713,-101.119,8.2364,2.31353,-65.7271,-15.5092,8.38466,-108.985,8.29643,5.22876,-58.3814,-15.1251,-16.3578,-89.6531,15.8714,-16.6678,-82.9616
,,,,,0.692153,24.2838,14.4837,4.26916,26.0948,73.613,3.84845,24.7226,21.6478,29.9897,25.1749,68.4379,29.7592,20.5807,32.1365,68.3797,19.9492,59.7873,68.3402,21.5949,15.9712,9.50551,23.2422,71.4886,8.87938,27.2396,26.216,46.4739,26.7301,65.9829,46.5618,15.9629,36.2422,83.571,15.2468,55.4908,83.4431,-17.5951,67.4232,297.951,18.2003,-79.0429,374.466,-29.0644,-11.5638,2.43484,19.2394,-7.86662,-4.64023,28.4575,12.7453,-2.0004,26.1064,74.5915,-2.35581,-10.0397,1.26641,-101.119,8.24584,2.3034,-65.7291,-15.4893,8.37063,-108.967,8.31252,5.23299,-58.3861,-15.124,-16.3542,-89.5553,15.8802,-16.6717,-82.9672
,,,,,0.694131,24.284,14.4838,4.26833,26.0951,73.6131,3.84614,24.718,21.6406,29.9921,25.1723,68.4315,29.7585,20.5714,32.123,68.3814,19.9481,59.7746,68.3388,21.5954,15.9687,9.50747,23.2413,71.4861,8.87906,27.2309,26.2049,46.4767,26.7262,65.9733,46.5608,15.9533,36.2271,83.5719,15.2476,55.476,83.4414,-17.8625,67.7442,298.055,18.3544,-78.8341,374.078,-29.0621,-11.6278,2.40764,19.2792,-7.78305,-4.68069,28.4775,12.7496,-2.00034,26.0862,74.6075,-2.35589,-10.0091,1.26571,-101.117,8.26345,2.30776,-65.7316,-15.4766,8.35742,-108.964,8.32335,5.22848,-58.3911,-15.1189,-16.3567,-89.4657,15.888,-16.6649,-83.0018
,,,,,0.696109,24.2843,14.4843,4.26684,26.095,73.6128,3.84456,24.7141,21.6339,29.9947,25.1688,68.4251,29.7578,20.5623,32.1102,68.3831,19.9465,59.7624,68.338,21.5966,15.9661,9.50983,23.2404,71.4832,8.87864,27.2229,26.1949,46.4795,26.7208,65.9641,46.5599,15.9433,36.2123,83.5728,15.2486,55.4616,83.4407,-18.232,68.2477,298.833,18.6054,-78.5793,373.152,-29.1959,-11.6425,2.41135,19.1784,-7.67245,-4.62596,28.4722,12.7304,-2.00023,26.0617,74.5932,-2.35589,-9.97286,1.26762,-101.114,8.28318,2.31588,-65.7343,-15.4658,8.34442,-108.966,8.33281,5.22169,-58.3962,-15.1127,-16.3607,-89.3784,15.8954,-16.6554,-83.0441
,,,,,0.698086,24.284,14.483,4.26647,26.092,73.6115,3.84838,24.7085,21.6281,29.9968,25.1662,68.4177,29.7569,20.5535,32.0978,68.3856,19.9448,59.7488,68.3365,21.5954,15.9647,9.50933,23.2397,71.4821,8.87891,27.2137,26.1856,46.4836,26.7166,65.9516,46.5581,15.9348,36.1978,83.5741,15.2486,55.4473,83.4395,-18.4549,68.52,299.197,18.7015,-78.4294,373.354,-29.2743,-11.7387,2.38506,19.0486,-7.68284,-4.63516,28.4994,12.7161,-2.00001,26.0634,74.5557,-2.35577,-9.96911,1.26538,-101.117,8.29483,2.32917,-65.7375,-15.4524,8.33224,-108.998,8.35022,5.21646,-58.3842,-15.1064,-16.3614,-89.2963,15.8976,-16.6492,-83.0833
,,,,,0.700064,24.2837,14.4813,4.2664,26.0883,73.6099,3.85362,24.7025,21.6225,29.9987,25.1639,68.4099,29.756,20.5449,32.0855,68.3882,19.9431,59.735,68.3348,21.5936,15.9637,9.50807,23.2392,71.4815,8.87936,27.2042,26.1764,46.488,26.7127,65.9382,46.556,15.9267,36.1834,83.5755,15.2484,55.4332,83.438,-18.6361,68.9472,299.615,18.9119,-78.1779,372.531,-29.4064,-11.7474,2.38856,19.0241,-7.52524,-4.64752,28.4968,12.6858,-1.99981,26.0256,74.5604,-2.35585,-9.97388,1.26204,-101.122,8.30438,2.34383,-65.7408,-15.4384,8.32028,-109.037,8.36971,5.21163,-58.3677,-15.1,-16.3612,-89.2156,15.8984,-16.6439,-83.1217
,,,,,0.702041,24.2838,14.4804,4.26683,26.0875,73.6089,3.85418,24.6967,21.6156,30.0008,25.163,68.4035,29.7559,20.5341,32.0724,68.3921,19.9418,59.7222,68.3356,21.5946,15.961,9.50777,23.2403,71.4796,8.87848,27.193,26.166,46.4921,26.7103,65.9281,46.5565,15.9164,36.1684,83.5792,15.248,55.4185,83.439,-18.9625,69.2401,300.383,19.1546,-77.9609,372.093,-29.437,-11.6615,2.33699,18.9865,-7.54486,-4.63844,28.4581,12.7007,-2.00009,26.0333,74.5563,-2.35582,-9.95654,1.25358,-101.127,8.32004,2.35165,-65.7384,-15.4256,8.30192,-109.049,8.38173,5.20609,-58.3723,-15.0935,-16.3606,-89.1331,15.9047,-16.6405,-83.1478
,,,,,0.704019,24.284,14.4798,4.26739,26.0874,73.608,3.8535,24.691,21.6083,30.003,25.1626,68.3974,29.7559,20.5229,32.0591,68.3963,19.9407,59.7097,68.3371,21.5963,15.9579,9.50773,23.2417,71.4774,8.87724,27.1813,26.1553,46.4962,26.7083,65.9188,46.5576,15.9054,36.1533,83.5836,15.2475,55.4038,83.4407,-19.2734,69.6718,300.865,19.3388,-77.8544,371.864,-29.4602,-11.7807,2.32226,18.9138,-7.46179,-4.59865,28.4914,12.7087,-1.99999,26.0122,74.5399,-2.35581,-9.93337,1.24377,-101.133,8.33731,2.35768,-65.7346,-15.4132,8.28187,-109.054,8.39177,5.20036,-58.3825,-15.087,-16.3599,-89.0501,15.9124,-16.6376,-83.1707
,,,,,0.705996,24.2841,14.4796,4.26721,26.0876,73.6084,3.85358,24.6882,21.6023,30.0053,25.1608,68.3914,29.7556,20.516,32.045,68.3997,19.941,59.6957,68.3346,21.596,15.9584,9.50761,23.2408,71.4781,8.87818,27.1765,26.1442,46.5003,26.7058,65.9074,46.5562,15.8971,36.1371,83.5865,15.2496,55.3879,83.4376,-19.4558,70.0348,301.224,19.5212,-77.5834,371.052,-29.5841,-11.8241,2.32571,18.8966,-7.42633,-4.63039,28.5011,12.6794,-1.99974,26.007,74.5463,-2.35583,-9.94387,1.24508,-101.126,8.33111,2.35413,-65.737,-15.3947,8.27521,-109.047,8.41015,5.19821,-58.3872,-15.0803,-16.3658,-89.0106,15.9195,-16.6314,-83.2
,,,,,0.707974,24.2841,14.4794,4.26683,26.0879,73.6091,3.85385,24.6861,21.5967,30.0076,25.1587,68.3853,29.7551,20.5103,32.0307,68.403,19.9416,59.6812,68.3312,21.5951,15.9598,9.50746,23.2392,71.4794,8.87969,27.1736,26.1329,46.5046,26.7033,65.8955,46.5541,15.8895,36.1207,83.5891,15.2525,55.3718,83.4332,-19.9052,70.3448,301.772,19.76,-77.3524,370.962,-29.6851,-11.8396,2.34246,18.8055,-7.4086,-4.61678,28.4991,12.6639,-1.99964,26.0027,74.523,-2.35577,-9.96333,1.24934,-101.115,8.31868,2.34805,-65.7411,-15.3746,8.27211,-109.038,8.43075,5.19702,-58.3905,-15.0736,-16.3734,-88.9827,15.9264,-16.6244,-83.231
,,,,,0.709952,24.2846,14.4787,4.26596,26.0859,73.6099,3.85397,24.6808,21.5909,30.0098,25.1564,68.3781,29.755,20.4998,32.0156,68.4057,19.9399,59.6649,68.3309,21.5948,15.9583,9.50762,23.2389,71.479,8.88064,27.1643,26.1235,46.5084,26.6996,65.8827,46.5532,15.8781,36.1016,83.591,15.2522,55.353,83.4333,-19.9512,70.7577,302.625,19.9353,-77.1947,370.403,-29.7531,-11.8485,2.36743,18.7421,-7.34111,-4.59175,28.491,12.6692,-1.99972,25.9875,74.5136,-2.35577,-9.95037,1.25403,-101.114,8.33716,2.35109,-65.7434,-15.3619,8.2586,-109.028,8.44964,5.19193,-58.3866,-15.0603,-16.378,-88.9259,15.9346,-16.6186,-83.2729
,,,,,0.711929,24.2852,14.4779,4.26496,26.0833,73.6106,3.85404,24.6747,21.585,30.012,25.1542,68.3705,29.7551,20.488,32.0003,68.4082,19.9375,59.6481,68.3314,21.5946,15.956,9.50786,23.2389,71.4782,8.88145,27.1532,26.1147,46.5122,26.6955,65.8697,46.5527,15.8658,36.0818,83.5926,15.251,55.3335,83.4346,-20.2893,71.0685,304.016,19.9588,-77.0557,369.99,-29.8703,-11.8736,2.30385,18.6694,-7.24186,-4.60985,28.4812,12.6756,-1.99981,25.9628,74.4995,-2.35577,-9.92873,1.25883,-101.116,8.36391,2.35657,-65.7452,-15.3511,8.24232,-109.017,8.46808,5.1858,-58.3809,-15.0452,-16.3817,-88.8614,15.9431,-16.6132,-83.3177
,,,,,0.713907,24.285,14.4778,4.26578,26.0824,73.6095,3.85512,24.6701,21.5781,30.0123,25.1536,68.3659,29.7547,20.4796,31.9854,68.409,19.9389,59.6353,68.33,21.595,15.9546,9.50711,23.2396,71.4761,8.8821,27.1447,26.1034,46.5133,26.6937,65.863,46.5515,15.8575,36.0643,83.5931,15.2545,55.3165,83.4329,-20.4955,71.5436,304.524,20.2876,-76.9661,369.455,-29.9435,-11.8469,2.27959,18.6487,-7.15686,-4.621,28.4658,12.668,-1.99982,25.9427,74.5012,-2.3558,-9.91669,1.25399,-101.123,8.37778,2.36069,-65.7398,-15.3362,8.2294,-109.022,8.47516,5.18222,-58.3697,-15.0366,-16.3824,-88.7896,15.9584,-16.6052,-83.3412
,,,,,0.715884,24.2846,14.4779,4.26709,26.0819,73.6078,3.85648,24.666,21.5709,30.0121,25.1534,68.3621,29.7543,20.4721,31.9706,68.4093,19.9412,59.6236,68.328,21.5956,15.9534,9.50609,23.2406,71.4736,8.8827,27.1369,26.0915,46.5138,26.6927,65.8581,46.5503,15.8502,36.0476,83.5933,15.2592,55.3001,83.4304,-20.6249,71.9653,305.726,20.4289,-76.7941,369.307,-30.0544,-11.8931,2.27877,18.6406,-7.05785,-4.60077,28.4656,12.6704,-1.99984,25.9166,74.5011,-2.35584,-9.90723,1.24655,-101.13,8.38817,2.36444,-65.7325,-15.3201,8.2174,-109.032,8.47919,5.17934,-58.3571,-15.0298,-16.3822,-88.7158,15.9754,-16.5963,-83.359
,,,,,0.717862,24.285,14.4788,4.26743,26.0821,73.6073,3.85612,24.6616,21.5633,30.0145,25.1525,68.3558,29.7529,20.4649,31.9569,68.4108,19.9441,59.6102,68.3248,21.5955,15.9499,9.50686,23.2393,71.4729,8.88276,27.129,26.0806,46.5175,26.6921,65.8474,46.5476,15.8435,36.032,83.5933,15.2645,55.2848,83.4268,-20.8419,72.4122,306.596,20.5535,-76.7206,368.778,-30.2177,-11.899,2.30142,18.592,-7.07904,-4.59522,28.4565,12.6452,-1.99971,25.9251,74.4951,-2.35581,-9.86056,1.24069,-101.131,8.38477,2.36197,-65.7337,-15.3082,8.20595,-109.034,8.49472,5.18056,-58.3608,-15.0245,-16.3826,-88.6784,15.9823,-16.5882,-83.3786
,,,,,0.71984,24.2856,14.48,4.26751,26.0824,73.6072,3.8553,24.6571,21.5556,30.0176,25.1514,68.3489,29.7512,20.4578,31.9435,68.4127,19.9471,59.5963,68.3213,21.5951,15.9459,9.50813,23.2374,71.4727,8.88269,27.1212,26.0699,46.5221,26.6916,65.835,46.5446,15.8368,36.0167,83.5933,15.2699,55.2698,83.4229,-20.9726,73.0228,307.477,20.7687,-76.479,368.395,-30.3231,-11.9085,2.29982,18.562,-6.99429,-4.59971,28.4484,12.6393,-1.9997,25.9041,74.4922,-2.35584,-9.80377,1.23525,-101.129,8.37762,2.3578,-65.7372,-15.2974,8.19465,-109.034,8.5134,5.1829,-58.3689,-15.0196,-16.3832,-88.6509,15.9864,-16.5802,-83.3988
,,,,,0.721817,24.2854,14.4787,4.26598,26.0833,73.6072,3.85531,24.6529,21.5474,30.0194,25.1497,68.342,29.7495,20.4491,31.9302,68.4145,19.9471,59.5839,68.3198,21.5954,15.944,9.50889,23.2384,71.4718,8.88199,27.1133,26.0566,46.5248,26.6878,65.8233,46.5423,15.8276,36.0035,83.5946,15.2725,55.2569,83.4221,-21.0498,73.3317,308.436,20.9632,-76.4739,367.906,-30.4815,-11.9299,2.29925,18.5682,-6.94001,-4.5879,28.4433,12.6186,-1.99958,25.8918,74.5006,-2.35588,-9.79953,1.22859,-101.121,8.39242,2.35454,-65.7405,-15.2801,8.18287,-109.047,8.53,5.17563,-58.3703,-15.0203,-16.3856,-88.6051,15.9874,-16.5707,-83.4464
,,,,,0.723795,24.285,14.4768,4.26402,26.0844,73.6072,3.85556,24.6487,21.539,30.0208,25.148,68.3351,29.748,20.4399,31.917,68.4163,19.9462,59.5718,68.3189,21.5959,15.9427,9.5095,23.2403,71.4708,8.88112,27.1053,26.0425,46.5269,26.6831,65.8117,46.5401,15.8176,35.9908,83.5961,15.2743,55.2446,83.4221,-21.2668,73.7448,308.875,20.9966,-76.3388,367.69,-30.5128,-11.9975,2.28087,18.518,-6.94848,-4.59344,28.4596,12.6226,-1.99954,25.8953,74.4899,-2.35585,-9.80967,1.22158,-101.112,8.41324,2.35153,-65.7437,-15.2611,8.17095,-109.064,8.54604,5.16573,-58.3699,-15.0226,-16.3885,-88.5542,15.9875,-16.5607,-83.5017
,,,,,0.725772,24.2846,14.4759,4.26468,26.0843,73.6075,3.85599,24.6428,21.5321,30.0228,25.1447,68.3306,29.7459,20.4292,31.9032,68.4198,19.9454,59.5596,68.3153,21.5945,15.9403,9.50743,23.24,71.4695,8.88079,27.0959,26.032,46.532,26.6775,65.8046,46.5367,15.806,35.9747,83.5985,15.2768,55.2288,83.4183,-21.4149,73.9866,309.922,21.1013,-76.3497,367.232,-30.6332,-12.0194,2.27901,18.523,-6.90364,-4.601,28.4535,12.6171,-1.99953,25.8854,74.4976,-2.35588,-9.79426,1.21952,-101.119,8.42765,2.36252,-65.7482,-15.2466,8.15819,-109.085,8.55531,5.1582,-58.3668,-15.0154,-16.3932,-88.5067,16.0003,-16.5488,-83.552
,,,,,0.72775,24.2841,14.4753,4.26607,26.0839,73.6078,3.85646,24.6365,21.5257,30.0248,25.1411,68.3269,29.7438,20.418,31.8892,68.4238,19.9446,59.5474,68.3109,21.5926,15.9377,9.50462,23.2391,71.4682,8.8806,27.0861,26.0226,46.538,26.6717,65.7989,46.533,15.7939,35.9576,83.6012,15.2795,55.212,83.4135,-21.4031,74.4168,311.068,21.3421,-76.2808,366.294,-30.7785,-11.9835,2.29171,18.434,-6.84766,-4.60066,28.4277,12.6069,-1.99957,25.8749,74.4862,-2.35587,-9.77179,1.21881,-101.13,8.4403,2.37738,-65.7531,-15.2333,8.1452,-109.106,8.56271,5.15132,-58.363,-15.0057,-16.3984,-88.4602,16.0166,-16.5364,-83.6011
,,,,,0.729727,24.2841,14.4743,4.26597,26.0839,73.6073,3.85675,24.6323,21.5169,30.0271,25.1364,68.3229,29.743,20.41,31.876,68.4264,19.9456,59.5355,68.3089,21.5928,15.9348,9.50382,23.2354,71.4726,8.88323,27.0782,26.009,46.5428,26.6662,65.7882,46.5295,15.7857,35.9446,83.6022,15.285,55.1994,83.4125,-21.4701,74.7908,311.678,21.3205,-76.1583,365.765,-30.8888,-11.9187,2.30934,18.3747,-6.85969,-4.58705,28.3995,12.591,-1.99959,25.8809,74.4773,-2.35583,-9.75329,1.21323,-101.133,8.37296,2.35144,-65.7453,-15.2157,8.13299,-109.1,8.58649,5.14915,-58.3215,-15.008,-16.4002,-88.4453,16.0183,-16.5202,-83.6538
,,,,,0.731705,24.2842,14.4732,4.26545,26.084,73.6066,3.857,24.6285,21.5074,30.0295,25.1314,68.3188,29.7427,20.4029,31.863,68.4286,19.9471,59.5238,68.3075,21.5935,15.9318,9.50358,23.2309,71.4785,8.88664,27.071,25.9943,46.5472,26.6608,65.7761,46.5262,15.7787,35.9328,83.6029,15.2912,55.1879,83.4124,-21.6007,75.1978,312.46,21.4264,-76.0667,365.473,-30.9704,-12.0123,2.32225,18.3312,-6.74267,-4.56455,28.4198,12.5897,-1.99949,25.8504,74.4694,-2.35586,-9.7359,1.20631,-101.132,8.28348,2.31418,-65.7341,-15.197,8.12099,-109.087,8.61481,5.1483,-58.2697,-15.0137,-16.4011,-88.4391,16.016,-16.5029,-83.7076
,,,,,0.733683,24.2831,14.4731,4.26546,26.0836,73.6059,3.85719,24.6228,21.4975,30.0319,25.1299,68.3129,29.741,20.3944,31.8486,68.4306,19.9475,59.5128,68.3067,21.593,15.9298,9.5043,23.2329,71.4755,8.88414,27.061,25.9779,46.551,26.6566,65.7678,46.5251,15.7713,35.9197,83.6037,15.2949,55.1751,83.4119,-21.5667,75.5378,313.224,21.5881,-76.0003,364.572,-31.1239,-11.9346,2.32087,18.2633,-6.73891,-4.59333,28.3857,12.5649,-1.99947,25.8539,74.4631,-2.35583,-9.71467,1.20533,-101.137,8.31934,2.32696,-65.7345,-15.1752,8.10727,-109.077,8.62225,5.13874,-58.2922,-15.0195,-16.3983,-88.4143,16.0224,-16.4914,-83.7472
,,,,,0.73566,24.2816,14.4732,4.26562,26.083,73.6052,3.85738,24.6166,21.4874,30.0343,25.1295,68.3064,29.7389,20.3857,31.8337,68.4326,19.9476,59.5021,68.3061,21.5923,15.9281,9.50529,23.2366,71.4699,8.88,27.0504,25.9611,46.5546,26.6527,65.7607,46.5246,15.7639,35.9063,83.6047,15.2978,55.1619,83.4112,-21.6278,75.7599,314.613,21.6036,-75.9371,363.919,-31.1545,-11.9833,2.30872,18.3027,-6.66332,-4.56197,28.3843,12.599,-1.99972,25.8364,74.483,-2.35592,-9.69237,1.20601,-101.143,8.39028,2.35374,-65.7382,-15.1524,8.09307,-109.067,8.62384,5.12674,-58.3356,-15.0254,-16.3946,-88.3843,16.0312,-16.4814,-83.783
,,,,,0.737638,24.2826,14.4721,4.26475,26.0824,73.6054,3.85721,24.6125,21.4801,30.0366,25.1246,68.2985,29.7393,20.3787,31.8186,68.436,19.9465,59.4858,68.3035,21.5917,15.926,9.50413,23.2327,71.4706,8.88411,27.0435,25.9496,46.5597,26.647,65.7459,46.522,15.7568,35.8887,83.6068,15.2997,55.1445,83.4085,-21.6334,76.1092,315.185,21.7773,-75.7782,363.303,-31.3178,-11.9104,2.3079,18.2041,-6.60667,-4.57189,28.3543,12.5652,-1.99962,25.8239,74.4643,-2.35589,-9.68096,1.20495,-101.139,8.37152,2.33819,-65.7417,-15.1363,8.08321,-109.058,8.6483,5.12473,-58.3189,-15.0178,-16.3967,-88.3811,16.035,-16.4708,-83.8375
,,,,,0.739615,24.2844,14.4708,4.26359,26.0818,73.606,3.85694,24.6091,21.4736,30.0389,25.1185,68.2902,29.7404,20.3722,31.8034,68.4397,19.945,59.4678,68.3002,21.5911,15.9239,9.50236,23.2267,71.473,8.89053,27.0377,25.9396,46.5653,26.6409,65.729,46.5189,15.7498,35.8699,83.6093,15.3015,55.1259,83.4051,-21.8418,76.4376,316.123,21.8847,-75.6491,362.941,-31.4352,-12.0039,2.34524,18.2039,-6.6453,-4.55705,28.3727,12.5577,-1.99948,25.8364,74.4693,-2.35588,-9.67261,1.2034,-101.133,8.3276,2.31078,-65.7452,-15.1221,8.07457,-109.05,8.67921,5.12553,-58.2854,-15.0064,-16.4005,-88.3856,16.0375,-16.4599,-83.8972
,,,,,0.741593,24.2843,14.47,4.26323,26.0835,73.6081,3.85388,24.6034,21.4635,30.0412,25.1157,68.2827,29.7374,20.3615,31.7866,68.4433,19.9427,59.453,68.2975,21.5905,15.9213,9.50255,23.2295,71.4705,8.88711,27.0279,25.9234,46.5692,26.6335,65.7174,46.5162,15.7385,35.8526,83.6125,15.3028,55.1087,83.4024,-21.7894,76.7753,316.597,21.9958,-75.5639,361.462,-31.5093,-11.9385,2.35187,18.1092,-6.59968,-4.57207,28.3464,12.5492,-1.99954,25.8312,74.4636,-2.35587,-9.65407,1.20299,-101.13,8.38013,2.31961,-65.7465,-15.101,8.06107,-109.051,8.69261,5.11002,-58.3142,-15.005,-16.403,-88.3604,16.0455,-16.4473,-83.9551
,,,,,0.743571,24.2838,14.4694,4.26309,26.0858,73.6107,3.85004,24.5971,21.4524,30.0435,25.1137,68.2753,29.7332,20.3496,31.7692,68.4468,19.9403,59.4389,68.2949,21.5899,15.9187,9.5033,23.2348,71.4665,8.88091,27.017,25.9054,46.5728,26.6257,65.7072,46.5137,15.7259,35.8356,83.616,15.304,55.092,83.3998,-21.7231,77.1138,317.74,22.1607,-75.4961,361.695,-31.5573,-12.0489,2.36583,18.0332,-6.60759,-4.56923,28.3675,12.5698,-1.99959,25.8323,74.4394,-2.3558,-9.63263,1.2029,-101.128,8.45997,2.33872,-65.7471,-15.0778,8.0462,-109.055,8.70104,5.08989,-58.3606,-15.0064,-16.4051,-88.3269,16.0549,-16.4343,-84.0124
