Frame,Event,Time (s),Club:CH,,,,,,
,,,X,Y,Z,,,,
210,,-0.861,120.2,46.1,4.7,,,,
211,,-0.86,120.2,45.7,4.7,,,,
212,,-0.859,120.1,45.4,4.7,,,,
213,,-0.858,120.1,45.1,,,,,
214,,-0.857,120.1,44.7,4.7,,,,
215,,-0.856,120.0,44.4,4.7,,,,
216,,-0.855,120.0,44.1,4.7,,,,
217,,-0.854,120.0,43.7,4.7,,,,
218,,-0.853,120.0,43.4,4.7,,,,
219,,-0.852,119.9,43.0,4.7,,,,
220,,-0.851,119.9,42.7,4.7,,,,
221,,-0.85,119.9,42.3,4.7,,,,
222,,-0.849,119.8,42.0,4.7,,,,
223,,-0.848,119.8,41.6,4.7,,,,
224,,-0.847,119.8,41.2,4.8,,,,
225,,-0.846,119.7,40.8,4.8,,,,
226,,-0.845,119.7,40.5,4.8,,,,
227,,-0.844,119.7,40.1,4.8,,,,
228,,-0.843,119.6,39.7,4.8,,,,
229,,-0.842,119.6,39.3,4.8,,,,
230,,-0.841,119.6,38.9,4.8,,,,
231,,-0.84,119.5,38.5,4.8,,,,
232,,-0.839,119.5,38.1,4.9,,,,
233,,-0.838,119.4,37.7,4.9,,,,
234,,-0.837,119.4,37.3,4.9,,,,
235,,-0.836,119.4,36.9,4.9,,,,
236,,-0.835,119.3,36.5,4.9,,,,
237,,-0.834,119.3,36.0,4.9,,,,
238,,-0.833,119.2,35.6,5.0,,,,
239,,-0.832,119.2,35.2,5.0,,,,
240,,-0.831,119.1,34.7,5.0,,,,
241,,-0.83,119.1,34.3,5.0,,,,
242,,-0.829,119.1,33.9,5.0,,,,
243,,-0.828,119.0,33.4,5.1,,,,
244,,-0.827,119.0,33.0,5.1,,,,
245,,-0.826,118.9,32.5,5.1,,,,
246,,-0.825,118.9,32.1,5.1,,,,
247,,-0.824,118.8,31.6,5.2,,,,
248,,-0.823,118.7,31.1,5.2,,,,
249,,-0.822,118.7,30.7,5.2,,,,
250,,-0.821,118.6,30.2,5.2,,,,
251,,-0.82,118.6,29.7,5.3,,,,
252,,-0.819,118.5,29.2,5.3,,,,
253,,-0.818,118.5,28.7,5.3,,,,
254,,-0.817,118.4,28.3,5.4,,,,
255,,-0.816,118.3,27.8,5.4,,,,
256,,-0.815,118.3,27.3,5.4,,,,
257,,-0.814,118.2,26.8,5.5,,,,
258,,-0.813,118.2,26.3,5.5,,,,
259,,-0.812,118.1,25.7,5.6,,,,
260,,-0.811,118.0,25.2,5.6,,,,
261,,-0.81,118.0,24.7,5.7,,,,
262,,-0.809,117.9,24.2,5.7,,,,
263,,-0.808,117.8,23.7,5.8,,,,
264,,-0.807,117.7,23.1,5.8,,,,
265,,-0.806,117.7,22.6,5.9,,,,
266,,-0.805,117.6,,5.9,,,,
267,,-0.804,117.5,21.5,6.0,,,,
268,,-0.803,117.5,21.0,6.0,,,,
269,,-0.802,117.4,20.4,6.1,,,,
270,,-0.801,117.3,19.9,6.1,,,,
271,,-0.8,117.2,19.3,6.2,,,,
272,,-0.799,117.1,18.8,6.3,,,,
273,,-0.798,117.0,18.2,6.3,,,,
274,,-0.797,117.0,17.7,6.4,,,,
275,,-0.796,116.9,17.1,6.5,,,,
276,,-0.795,116.8,16.5,6.6,,,,
277,,-0.794,116.7,15.9,6.6,,,,
278,,-0.793,116.6,15.3,6.7,,,,
279,,-0.792,116.5,14.8,6.8,,,,
280,,-0.791,116.4,14.2,6.9,,,,
281,,-0.79,116.3,13.6,7.0,,,,
282,,-0.789,116.2,13.0,7.0,,,,
283,,-0.788,116.1,12.4,7.1,,,,
284,,-0.787,116.0,11.8,7.2,,,,
285,,-0.786,115.9,11.2,7.3,,,,
286,,-0.785,115.8,10.6,7.4,,,,
287,,-0.784,115.7,10.0,7.5,,,,
288,,-0.783,115.6,9.3,7.6,,,,
289,,-0.782,115.5,8.7,7.7,,,,
290,,-0.781,115.3,8.1,7.8,,,,
291,,-0.78,115.2,7.5,7.9,,,,
292,,-0.779,115.1,6.9,8.1,,,,
293,,-0.778,115.0,6.2,8.2,,,,
294,,-0.777,114.9,5.6,8.3,,,,
295,,-0.776,114.7,4.9,8.4,,,,
296,,-0.775,114.6,4.3,8.6,,,,
297,,-0.774,114.5,3.7,8.7,,,,
298,,-0.773,114.4,3.0,8.8,,,,
299,,-0.772,114.2,2.4,9.0,,,,
300,,-0.771,114.1,1.7,9.1,,,,
301,,-0.77,113.9,1.1,9.2,,,,
302,,-0.769,113.8,0.4,9.4,,,,
303,,-0.768,113.7,-0.3,9.5,,,,
304,,-0.767,,-0.9,9.7,,,,
305,,-0.766,113.4,-1.6,9.8,,,,
306,,-0.765,113.2,-2.3,10.0,,,,
307,,-0.764,113.1,-2.9,10.2,,,,
308,,-0.763,112.9,-3.6,10.3,,,,
309,,-0.762,112.8,-4.3,10.5,,,,
310,,-0.761,112.6,-5.0,10.7,,,,
311,,-0.76,112.4,-5.7,10.9,,,,
312,,-0.759,112.3,-6.3,11.0,,,,
313,,-0.758,112.1,-7.0,11.2,,,,
314,,-0.757,111.9,-7.7,11.4,,,,
315,,-0.756,111.8,-8.4,11.6,,,,
316,,-0.755,111.6,-9.1,11.8,,,,
317,,-0.754,111.4,-9.8,12.0,,,,
318,,-0.753,111.2,-10.5,12.2,,,,
319,,-0.752,111.0,-11.2,12.4,,,,
320,,-0.751,110.8,-11.9,12.6,,,,
321,,-0.75,110.7,-12.6,12.8,,,,
322,,-0.749,110.5,-13.3,13.1,,,,
323,,-0.748,110.3,-14.0,13.3,,,,
324,,-0.747,110.1,-14.8,13.5,,,,
325,,-0.746,109.9,-15.5,13.8,,,,
